StartTime,ErrCode,Repetition
2017/02/01 09:28:08,E620002L,1
2017/02/01 09:30:06,E620002R,1
2017/02/01 09:31:50,E620002L,2
2017/02/01 09:32:47,E620002R,2
2017/02/01 23:41:51,E620003L,13
2017/02/01 23:43:24,E551010R,1
2017/02/02 00:21:11,E620002L,1
2017/02/02 00:23:12,E620002L,2
2017/02/02 00:24:10,E620002R,1
2017/02/02 00:37:44,E620002L,1
2017/02/02 00:40:34,E620002L,1
2017/02/02 00:49:29,E620002R,1
2017/02/02 00:51:47,E620002R,1
2017/02/02 01:37:24,E600003R,1
2017/02/02 01:37:25,E551010L,1
2017/02/02 01:37:25,E620003R,1
2017/02/02 06:47:54,E620002L,2
2017/02/02 06:48:01,E620002R,3
2017/02/02 06:50:41,E620002L,2
2017/02/02 16:29:57,E620002R,2
2017/02/02 16:30:04,E620002L,2
2017/02/02 21:13:13,E551010R,1
2017/02/02 21:13:13,E632104L,1
2017/02/02 22:14:59,E620002R,1
2017/02/02 22:56:26,E620002L,1
2017/02/02 22:57:08,E620002R,1
2017/02/02 23:21:12,E620002R,1
2017/02/02 23:54:25,E620003R,1
2017/02/03 00:02:45,E620002R,1
2017/02/03 07:18:22,E551506R,1
2017/02/03 07:18:59,E551010L,1
2017/02/03 08:13:48,E620002L,2
2017/02/03 08:13:50,E620002R,3
2017/02/03 16:56:19,E600003R,1
2017/02/03 16:56:19,E620003R,1
2017/02/03 16:57:37,E551010L,1
2017/02/03 17:55:47,E551506R,1
2017/02/03 17:55:57,E551010L,1
2017/02/04 04:23:49,E551010R,1
2017/02/04 04:23:49,E620003L,2
2017/02/04 09:00:14,E620002R,1
2017/02/04 09:00:19,E620002L,1
2017/02/06 07:31:53,E620002L,1
2017/02/06 07:32:18,E620002R,3
2017/02/06 07:34:05,E620002L,1
2017/02/06 07:36:15,E620002L,1
2017/02/06 17:13:13,E551506R,1
2017/02/06 17:13:40,E551010L,1
2017/02/07 01:57:51,E600003R,1
2017/02/07 01:57:51,E620003R,1
2017/02/07 01:59:25,E551010L,1
2017/02/07 02:35:42,E551010L,1
2017/02/07 02:35:42,E620003R,4
2017/02/07 09:31:16,E620002L,2
2017/02/07 09:31:16,E620002R,1
2017/02/07 09:33:23,E620002R,2
2017/02/07 10:43:09,E600003L,1
2017/02/07 10:43:09,E620003L,1
2017/02/07 15:44:22,E551010R,1
2017/02/07 15:44:22,E632102L,1
2017/02/07 15:45:10,E551010L,1
2017/02/07 15:45:10,E632436R,1
2017/02/07 15:45:41,E620002L,1
2017/02/07 15:47:33,E620002R,1
2017/02/07 18:13:32,E632103L,1
2017/02/07 18:13:48,E551010R,1
2017/02/07 19:04:19,E620003R,2
2017/02/07 19:13:14,E620002L,1
2017/02/07 19:13:38,E620002R,1
2017/02/07 20:51:15,E620002L,2
2017/02/07 20:56:26,E620003R,5
2017/02/07 23:41:29,E620002R,1
2017/02/08 00:05:51,E600003L,1
2017/02/08 00:05:52,E620003L,1
2017/02/08 03:24:20,E620002R,1
2017/02/08 04:02:11,E551010L,1
2017/02/08 04:02:11,E620003R,2
2017/02/08 05:26:52,E620002L,1
2017/02/08 05:26:52,E620002R,1
2017/02/08 07:26:18,E620003R,1
2017/02/08 07:29:59,E620002R,1
2017/02/08 07:46:09,E620002L,1
2017/02/08 08:33:49,E600003L,1
2017/02/08 08:33:50,E620003L,1
2017/02/08 08:38:14,E551010R,1
2017/02/08 08:46:06,E620002L,1
2017/02/08 10:16:18,E620002L,1
2017/02/08 10:16:49,E620002R,1
2017/02/08 10:24:35,E620002L,2
2017/02/08 13:48:06,E551010R,1
2017/02/08 13:48:06,E620003L,2
2017/02/08 17:24:56,E620002L,1
2017/02/08 17:25:09,E620002R,1
2017/02/08 17:27:46,E620002L,1
2017/02/08 17:27:48,E620002R,2
2017/02/08 20:21:31,E620002R,1
2017/02/08 21:44:16,E620002R,1
2017/02/08 22:18:32,E620002L,1
2017/02/08 22:19:21,E620002R,2
2017/02/09 02:19:28,E620002L,2
2017/02/09 04:01:26,E551010L,1
2017/02/09 04:01:26,E620003R,1
2017/02/09 04:32:51,E620002L,1
2017/02/09 06:41:53,E620002R,1
2017/02/09 06:50:29,E620002L,1
2017/02/09 06:51:45,E620002R,1
2017/02/09 06:54:45,E620002R,2
2017/02/09 07:25:08,E551010R,1
2017/02/09 07:25:08,E632236L,1
2017/02/09 07:25:38,E620002L,1
2017/02/09 07:35:42,E551010L,1
2017/02/09 07:35:42,E632501R,1
2017/02/09 07:58:02,E620002L,1
2017/02/09 07:58:11,E620002R,1
2017/02/09 08:05:04,E620002L,2
2017/02/09 08:19:26,E620002R,2
2017/02/09 08:19:37,E620002L,1
2017/02/09 09:29:08,E620002L,1
2017/02/09 09:29:15,E620002R,1
2017/02/09 09:33:47,E620002L,2
2017/02/09 09:36:37,E620002L,1
2017/02/09 09:36:54,E620002R,1
2017/02/09 12:38:10,E551092R,1
2017/02/09 12:38:48,E551010L,1
2017/02/09 13:03:48,E620002R,1
2017/02/09 17:44:59,E620002R,1
2017/02/09 17:45:08,E620002L,2
2017/02/09 17:47:11,E620002R,1
2017/02/09 17:48:53,E620002L,1
2017/02/10 07:11:02,E620002L,2
2017/02/10 07:14:01,E620002L,1
2017/02/10 07:14:01,E620002R,1
2017/02/10 07:19:18,E620002L,1
2017/02/10 11:04:18,E620002L,1
2017/02/10 11:04:27,E620002R,1
2017/02/10 11:36:19,E620002L,1
2017/02/10 11:37:05,E620002R,1
2017/02/10 13:15:52,E600003L,1
2017/02/10 13:15:52,E620003L,1
2017/02/10 13:20:34,E600102R,1
2017/02/10 17:43:27,E551010L,1
2017/02/10 17:43:28,E620003R,1
2017/02/10 20:49:39,E620002L,1
2017/02/10 20:49:39,E620002R,1
2017/02/10 20:52:30,E620002L,1
2017/02/10 20:53:00,E620002R,1
2017/02/10 22:06:59,E551010R,1
2017/02/10 22:06:59,E632104L,1
2017/02/12 00:02:50,E620002L,1
2017/02/12 00:03:12,E620002R,1
2017/02/12 05:40:31,E620002R,2
2017/02/12 05:43:32,E620002R,1
2017/02/13 07:30:19,E620002R,1
2017/02/13 07:30:21,E620002L,1
2017/02/13 07:33:02,E620002L,1
2017/02/13 07:33:05,E620002R,1
2017/02/13 07:36:03,E620002L,1
2017/02/13 10:02:32,E551502R,1
2017/02/13 10:03:12,E551010L,1
2017/02/13 10:48:47,E600003L,1
2017/02/13 10:48:47,E620003L,1
2017/02/13 12:17:53,E620003R,1
2017/02/13 12:18:00,E551502R,1
2017/02/13 12:18:47,E551010L,1
2017/02/13 12:19:09,E620002R,2
2017/02/13 12:23:35,E620002R,1
2017/02/13 16:10:08,E551010L,1
2017/02/13 16:10:08,E620003R,2
2017/02/13 16:10:09,E605179R,1
2017/02/13 16:18:46,E620003L,5
2017/02/13 16:23:17,E600003L,1
2017/02/13 16:23:17,E620003L,1
2017/02/13 16:23:25,E551010R,1
2017/02/13 17:43:48,E620002L,1
2017/02/13 17:44:05,E620002R,2
2017/02/13 23:40:33,E620002L,2
2017/02/13 23:41:12,E620002R,2
2017/02/14 03:21:07,E620003L,1
2017/02/14 03:21:19,E620002L,1
2017/02/14 03:36:38,E551010L,1
2017/02/14 03:37:42,E632501R,1
2017/02/14 09:22:31,E620002R,1
2017/02/14 09:26:13,E620002R,1
2017/02/14 09:29:04,E620002L,1
2017/02/14 09:29:05,E620002R,1
2017/02/14 09:34:04,E620002R,1
2017/02/15 01:57:11,E551502R,1
2017/02/15 01:57:20,E551010L,1
2017/02/15 10:51:55,E620002L,1
2017/02/15 10:52:01,E620002R,1
2017/02/15 11:05:45,E620003L,1
2017/02/15 11:14:34,E620002L,1
2017/02/15 11:15:06,E620002R,1
2017/02/15 12:26:42,E620002R,1
2017/02/15 12:49:06,E600003L,1
2017/02/15 12:49:06,E620003L,1
2017/02/15 12:49:14,E551010R,1
2017/02/15 13:07:43,E620002L,2
2017/02/15 15:06:12,E620002L,1
2017/02/15 15:09:58,E620002L,1
2017/02/15 15:10:47,E620002R,1
2017/02/15 16:57:32,E551010L,1
2017/02/15 16:57:33,E620003R,2
2017/02/15 17:11:33,E530020L,1
2017/02/15 17:16:11,E620002L,1
2017/02/15 18:21:46,E551010L,1
2017/02/15 18:21:46,E632501R,1
2017/02/16 06:37:50,E620002L,1
2017/02/16 06:37:53,E620002R,2
2017/02/16 07:05:11,E600003L,1
2017/02/16 07:05:11,E620003L,1
2017/02/16 07:05:49,E551010R,1
2017/02/16 07:20:40,E600003L,1
2017/02/16 07:20:40,E620003L,1
2017/02/16 07:21:04,E551010R,1
2017/02/17 03:13:49,E551010L,1
2017/02/17 03:13:50,E620003R,3
2017/02/17 04:03:41,E551010R,1
2017/02/17 04:03:41,E620003L,2
2017/02/17 04:41:39,E530020L,1
2017/02/17 04:41:44,E551010R,1
2017/02/17 04:41:59,E620002L,4
2017/02/17 04:44:34,E620002L,1
2017/02/17 04:47:09,E620002L,2
2017/02/17 05:38:24,E620002L,1
2017/02/17 05:38:24,E620002R,1
2017/02/17 05:40:51,E620002R,1
2017/02/17 05:43:07,E620002L,5
2017/02/17 05:49:42,E620002L,2
2017/02/17 08:07:24,E620002R,1
2017/02/17 08:07:30,E620002L,1
2017/02/17 08:20:11,E620002L,2
2017/02/17 08:20:23,E620002R,1
2017/02/17 08:23:41,E620002L,2
2017/02/17 08:28:09,E620002L,1
2017/02/17 08:28:09,E620002R,1
2017/02/17 11:50:13,E620002L,2
2017/02/17 11:50:21,E620002R,3
2017/02/17 13:16:22,E620002R,1
2017/02/17 14:36:50,E620002L,2
2017/02/17 14:36:54,E620002R,2
2017/02/17 15:40:03,E530020R,1
2017/02/17 15:41:07,E551010L,1
2017/02/17 16:31:17,E620002R,1
2017/02/17 16:34:17,E620002L,2
2017/02/17 18:05:24,E600003R,1
2017/02/17 18:05:25,E620003R,1
2017/02/17 18:05:48,E551010L,1
2017/02/17 18:19:43,E632104L,1
2017/02/17 18:21:03,E551010R,1
